Harry Potter,Gryffindor
Hermione Granger,Gryffindor
Ron Weasley,Gryffindor
Ginny Weasley,Gryffindor
Neville Longbottom,Gryffindor
Luna Lovegood,Ravenclaw
Cho Chang,Ravenclaw
Gilderoy Lockhart,Ravenclaw
Sybill Trelawney,Ravenclaw
Filius Flitwick,Ravenclaw
Cedric Diggory,Hufflepuff
Nymphadora Tonks,Hufflepuff
Pomona Sprout,Hufflepuff
Teddy Lupin,Hufflepuff
Newt Scamander,Hufflepuff
Draco Malfoy,Slytherin
Severus Snape,Slytherin
Tom Riddle,Slytherin
Bellatrix Lestrange,Slytherin
Regulus Black,Slytherin
Albus Dumbledore,Gryffindor
Minerva McGonagall,Gryffindor
Sirius Black,Gryffindor
Remus Lupin,Gryffindor
Fred Weasley,Gryffindor
George Weasley,Gryffindor
Narcissa Malfoy,Slytherin
Lucius Malfoy,Slytherin
Pansy Parkinson,Slytherin
Blaise Zabini,Slytherin
